ds,ipsrc,ipdst,throughput
2025-02-05 09:19:15,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:15,10.252.249.2,10.252.40.101,278
2025-02-05 09:19:15,10.252.0.2,224.0.0.102,213
2025-02-05 09:19:15,10.252.40.101,10.252.249.2,210
2025-02-05 09:19:15,10.252.249.1,10.252.40.101,34048
2025-02-05 09:19:15,10.252.40.101,10.252.249.3,34022
2025-02-05 09:19:15,10.90.0.1,224.0.1.1,20
2025-02-05 09:19:15,10.90.0.1,255.255.255.255,53
2025-02-05 09:19:45,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:45,10.252.249.2,10.252.40.101,145
2025-02-05 09:19:45,10.252.0.2,224.0.0.102,213
2025-02-05 09:19:45,10.252.40.101,10.252.249.2,145
2025-02-05 09:19:45,10.252.249.1,10.252.40.101,38080
2025-02-05 09:19:45,10.252.40.101,10.252.249.3,38093
2025-02-05 09:19:45,10.90.0.1,255.255.255.255,65
