NAME,CPU %,MEM USAGE / LIMIT,MEM %
internet_server,0.00%,1.727MiB / 7.751GiB,0.02%
dns_s,0.01%,3.285MiB / 7.751GiB,0.04%
ue,0.44%,8.324MiB / 7.751GiB,0.10%
gnb,0.12%,5.422MiB / 7.751GiB,0.07%
upf,0.00%,24.33MiB / 7.751GiB,0.31%
cp,0.75%,371.5MiB / 7.751GiB,4.68%
