NAME,CPU %,MEM USAGE / LIMIT,MEM %
internet_server,0.00%,1.727MiB / 7.751GiB,0.02%
dns_s,0.00%,3.285MiB / 7.751GiB,0.04%
ue,65.86%,8.754MiB / 7.751GiB,0.11%
gnb,0.13%,5.418MiB / 7.751GiB,0.07%
upf,0.00%,24.28MiB / 7.751GiB,0.31%
cp,0.55%,370.7MiB / 7.751GiB,4.67%
