Container Name, CPU Usage (%), Memory Usage (MB)
internet_server,0.00%,1.727MiB / 7.751GiB
dns_s,0.00%,3.285MiB / 7.751GiB
ue,0.83%,8.34MiB / 7.751GiB
gnb,0.10%,5.422MiB / 7.751GiB
upf,0.00%,24.81MiB / 7.751GiB
cp,0.31%,373.8MiB / 7.751GiB
