ipsrc,ipdst,timestamp,src_port,dst_port,protocol,flags,packet_length,throughput
10.252.0.2,224.0.0.18,2025-02-05 09:18:55,,,VRRP,,400,320
10.252.249.2,10.252.40.101,2025-02-05 09:18:55,,,SCTP,,768,614
10.252.0.2,224.0.0.102,2025-02-05 09:18:55,,,UDP,,240,192
10.252.40.101,10.252.249.2,2025-02-05 09:18:55,,,SCTP,,512,410
10.252.249.1,10.252.40.101,2025-02-05 09:18:55,,,GTP,,32496,25997
10.252.40.101,10.252.249.3,2025-02-05 09:18:55,,,GTP,,32448,25958
10.252.0.2,224.0.0.18,2025-02-05 09:19:05,,,VRRP,,400,320
10.252.249.2,10.252.40.101,2025-02-05 09:19:05,,,SCTP,,92,74
10.252.0.2,224.0.0.102,2025-02-05 09:19:05,,,UDP,,240,192
10.252.40.101,10.252.249.2,2025-02-05 09:19:05,,,SCTP,,92,74
10.252.249.1,10.252.40.101,2025-02-05 09:19:05,,,GTP,,47568,38054
10.252.40.101,10.252.249.3,2025-02-05 09:19:05,,,GTP,,47568,38054
10.90.0.1,224.0.1.1,2025-02-05 09:19:05,,,UDP,,76,61
10.252.0.2,224.0.0.18,2025-02-05 09:19:15,,,VRRP,,400,320
10.252.249.2,10.252.40.101,2025-02-05 09:19:15,,,SCTP,,184,147
10.252.0.2,224.0.0.102,2025-02-05 09:19:15,,,UDP,,320,256
10.252.40.101,10.252.249.2,2025-02-05 09:19:15,,,SCTP,,184,147
10.252.249.1,10.252.40.101,2025-02-05 09:19:15,,,GTP,,47520,38016
10.252.40.101,10.252.249.3,2025-02-05 09:19:15,,,GTP,,47616,38093
10.90.0.1,224.0.1.1,2025-02-05 09:19:15,,,UDP,,48,38
10.90.0.1,255.255.255.255,2025-02-05 09:19:15,,,UDP,,197,158
10.252.0.2,224.0.0.18,2025-02-05 09:19:25,,,VRRP,,400,320
10.252.249.2,10.252.40.101,2025-02-05 09:19:25,,,SCTP,,268,214
10.252.0.2,224.0.0.102,2025-02-05 09:19:25,,,UDP,,240,192
10.252.40.101,10.252.249.2,2025-02-05 09:19:25,,,SCTP,,268,214
10.252.249.1,10.252.40.101,2025-02-05 09:19:25,,,GTP,,47568,38054
10.252.40.101,10.252.249.3,2025-02-05 09:19:25,,,GTP,,47616,38093
10.90.0.1,255.255.255.255,2025-02-05 09:19:25,,,UDP,,48,38
10.252.0.2,224.0.0.18,2025-02-05 09:19:35,,,VRRP,,400,320
10.252.249.2,10.252.40.101,2025-02-05 09:19:35,,,SCTP,,92,74
10.252.0.2,224.0.0.102,2025-02-05 09:19:35,,,UDP,,240,192
10.252.40.101,10.252.249.2,2025-02-05 09:19:35,,,SCTP,,92,74
10.252.249.1,10.252.40.101,2025-02-05 09:19:35,,,GTP,,47568,38054
10.252.40.101,10.252.249.3,2025-02-05 09:19:35,,,GTP,,47616,38093
10.90.0.1,255.255.255.255,2025-02-05 09:19:35,,,UDP,,48,38
10.252.0.2,224.0.0.18,2025-02-05 09:19:45,,,VRRP,,400,320
10.252.249.2,10.252.40.101,2025-02-05 09:19:45,,,SCTP,,184,147
10.252.0.2,224.0.0.102,2025-02-05 09:19:45,,,UDP,,320,256
10.252.40.101,10.252.249.2,2025-02-05 09:19:45,,,SCTP,,184,147
10.252.249.1,10.252.40.101,2025-02-05 09:19:45,,,GTP,,47568,38054
10.252.40.101,10.252.249.3,2025-02-05 09:19:45,,,GTP,,47616,38093
10.90.0.1,255.255.255.255,2025-02-05 09:19:45,,,UDP,,245,196
