frame.time_epoch,frame.len
1735835344.080462000,74
1735835344.130685000,74
1735835344.307712000,66
1735835344.308770000,103
1735835344.358898000,66
1735835344.358900000,67
1735835344.532970000,66
1735835344.532998000,66
1735835344.533043000,70
1735835344.583139000,66
1735835344.755721000,186
1735835344.805846000,66
1735835344.806009000,67
1735835344.978494000,66
1735835344.980980000,74
1735835345.031084000,74
1735835345.207872000,66
1735835345.207948000,103
1735835345.257988000,66
1735835345.259715000,67
1735835345.432141000,66
1735835345.482301000,67
1735835345.654948000,66
1735835345.654969000,2962
1735835345.655114000,2962
1735835345.655352000,2962
1735835345.655604000,2962
1735835345.655831000,2962
1735835345.705040000,66
1735835345.705172000,66
1735835345.705396000,66
1735835345.705665000,66
1735835345.705877000,66
1735835345.877479000,2962
1735835345.877602000,2962
1735835345.877852000,2962
1735835345.878095000,2962
1735835345.878339000,2962
1735835345.878597000,2962
1735835345.878816000,2962
1735835345.879054000,1514
1735835345.879174000,2962
1735835345.879435000,2962
1735835345.879658000,1514
1735835345.927581000,66
1735835345.927831000,66
1735835345.927906000,66
1735835345.928167000,66
1735835345.928385000,66
1735835345.928643000,66
1735835345.928848000,66
1735835345.929093000,66
1735835345.929225000,66
1735835345.929475000,66
1735835345.971041000,66
1735835346.100205000,2962
1735835346.100327000,2962
1735835346.100580000,2962
1735835346.100819000,2962
1735835346.101069000,2962
1735835346.101327000,2962
1735835346.101556000,2962
1735835346.101779000,2962
1735835346.102040000,2962
1735835346.102268000,2962
1735835346.102505000,2962
1735835346.102747000,2962
1735835346.102990000,1514
1735835346.103118000,2962
1735835346.143419000,2962
1735835346.150373000,66
1735835346.150374000,66
1735835346.150617000,66
1735835346.150863000,66
1735835346.151113000,66
1735835346.151362000,66
1735835346.151603000,66
1735835346.151831000,66
1735835346.152097000,66
1735835346.152319000,66
1735835346.152550000,66
1735835346.152803000,66
1735835346.153393000,66
1735835346.153395000,66
1735835346.193472000,66
1735835346.322887000,2962
1735835346.323012000,2962
1735835346.323264000,2962
1735835346.323501000,2962
1735835346.323745000,2962
1735835346.323986000,1514
1735835346.324098000,2962
1735835346.324348000,2962
1735835346.324590000,2962
1735835346.324824000,2962
1735835346.325078000,2962
1735835346.325328000,2962
1735835346.325555000,2962
1735835346.325793000,1514
1735835346.325914000,2962
1735835346.326156000,2962
1735835346.326399000,2962
1735835346.326640000,2962
1735835346.326882000,2962
1735835346.327125000,2962
1735835346.327367000,2962
1735835346.327620000,1514
1735835346.327731000,2962
1735835346.327981000,2962
1735835346.328215000,2962
1735835346.328457000,2962
1735835346.328699000,2962
1735835346.328951000,2962
1735835346.329185000,2962
1735835346.329429000,1514
1735835346.329547000,2962
1735835346.329789000,2962
1735835346.330033000,2962
1735835346.330274000,2962
1735835346.366261000,2962
1735835346.366381000,2962
1735835346.366641000,1514
1735835346.373039000,66
1735835346.373042000,66
1735835346.373334000,66
1735835346.373537000,66
1735835346.373780000,66
1735835346.374019000,66
1735835346.374129000,66
1735835346.374380000,66
1735835346.374621000,66
1735835346.374853000,66
1735835346.375136000,66
1735835346.375382000,66
1735835346.375607000,66
1735835346.375839000,66
1735835346.375962000,66
1735835346.376189000,66
1735835346.376428000,66
1735835346.376669000,66
1735835346.376911000,66
1735835346.377155000,66
1735835346.377405000,66
1735835346.377662000,66
1735835346.377764000,66
1735835346.378010000,66
1735835346.378245000,66
1735835346.378486000,66
1735835346.378767000,66
1735835346.378981000,66
1735835346.379215000,66
1735835346.379461000,66
1735835346.379573000,66
1735835346.379825000,66
1735835346.380091000,66
1735835346.380319000,66
1735835346.416382000,66
1735835346.416414000,66
1735835346.416683000,66
1735835346.545411000,2962
1735835346.545538000,2962
1735835346.545781000,2962
1735835346.546021000,2962
1735835346.546262000,2962
1735835346.546507000,2962
1735835346.546746000,2962
1735835346.546995000,2962
1735835346.547236000,1514
1735835346.547360000,2962
1735835346.547598000,2962
