ds,y,ipsrc,ipdst
2025-02-05 09:19:43,392.28394937361514,10.90.0.1,255.255.255.255
2025-02-05 09:19:44,393.0439303204291,10.90.0.1,255.255.255.255
2025-02-05 09:19:45,393.80391126724305,10.90.0.1,255.255.255.255
2025-02-05 09:19:46,394.56389221405703,10.90.0.1,255.255.255.255
2025-02-05 09:19:47,395.3238731608709,10.90.0.1,255.255.255.255
2025-02-05 09:19:48,396.0838541076849,10.90.0.1,255.255.255.255
2025-02-05 09:19:49,396.84383505449887,10.90.0.1,255.255.255.255
2025-02-05 09:19:50,397.6038160013128,10.90.0.1,255.255.255.255
2025-02-05 09:19:51,398.3637969481268,10.90.0.1,255.255.255.255
2025-02-05 09:19:52,399.1237778949407,10.90.0.1,255.255.255.255
2025-02-05 09:19:53,399.8837588417546,10.90.0.1,255.255.255.255
2025-02-05 09:19:54,400.64373978856855,10.90.0.1,255.255.255.255
