ds,ipsrc,ipdst,throughput
2025-11-19 12:38:28,192.168.130.10,192.168.130.145,839
2025-11-19 12:38:28,192.168.130.145,192.168.130.10,990
2025-11-19 12:38:28,192.168.130.93,192.168.130.145,841
2025-11-19 12:38:28,192.168.130.145,192.168.130.93,678
2025-11-19 12:38:28,192.168.130.133,192.168.130.145,848
2025-11-19 12:38:28,192.168.130.145,192.168.130.133,946
2025-11-19 12:38:28,192.168.130.27,192.168.130.145,839
2025-11-19 12:38:28,192.168.130.145,192.168.130.27,669
2025-11-19 12:38:28,192.168.130.103,192.168.130.145,842
2025-11-19 12:38:28,192.168.130.145,192.168.130.103,679
2025-11-19 12:40:28,192.168.130.10,192.168.130.145,835
2025-11-19 12:40:28,192.168.130.145,192.168.130.10,990
2025-11-19 12:40:28,192.168.130.93,192.168.130.145,841
2025-11-19 12:40:28,192.168.130.145,192.168.130.93,678
2025-11-19 12:40:28,192.168.130.133,192.168.130.145,855
2025-11-19 12:40:28,192.168.130.145,192.168.130.133,950
2025-11-19 12:40:28,192.168.130.27,192.168.130.145,839
2025-11-19 12:40:28,192.168.130.145,192.168.130.27,669
2025-11-19 12:40:28,192.168.130.103,192.168.130.145,842
2025-11-19 12:40:28,192.168.130.145,192.168.130.103,683
2025-11-19 12:42:28,192.168.130.10,192.168.130.145,835
2025-11-19 12:42:28,192.168.130.145,192.168.130.10,990
2025-11-19 12:42:28,192.168.130.93,192.168.130.145,841
2025-11-19 12:42:28,192.168.130.145,192.168.130.93,678
2025-11-19 12:42:28,192.168.130.133,192.168.130.145,855
2025-11-19 12:42:28,192.168.130.145,192.168.130.133,950
2025-11-19 12:42:28,192.168.130.27,192.168.130.145,839
2025-11-19 12:42:28,192.168.130.145,192.168.130.27,669
2025-11-19 12:42:28,192.168.130.103,192.168.130.145,842
2025-11-19 12:42:28,192.168.130.145,192.168.130.103,683
2025-11-19 12:44:28,192.168.130.10,192.168.130.145,835
2025-11-19 12:44:28,192.168.130.145,192.168.130.10,990
2025-11-19 12:44:28,192.168.130.93,192.168.130.145,841
2025-11-19 12:44:28,192.168.130.145,192.168.130.93,678
2025-11-19 12:44:28,192.168.130.133,192.168.130.145,855
2025-11-19 12:44:28,192.168.130.145,192.168.130.133,950
2025-11-19 12:44:28,192.168.130.27,192.168.130.145,839
2025-11-19 12:44:28,192.168.130.145,192.168.130.27,669
2025-11-19 12:44:28,192.168.130.103,192.168.130.145,842
2025-11-19 12:44:28,192.168.130.145,192.168.130.103,683
