ds,ipsrc,ipdst,throughput
2025-02-05 09:18:55,10.252.0.2,224.0.0.18,320
2025-02-05 09:18:55,10.252.249.2,10.252.40.101,614
2025-02-05 09:18:55,10.252.0.2,224.0.0.102,192
2025-02-05 09:18:55,10.252.40.101,10.252.249.2,410
2025-02-05 09:18:55,10.252.249.1,10.252.40.101,25997
2025-02-05 09:18:55,10.252.40.101,10.252.249.3,25958
2025-02-05 09:19:05,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:05,10.252.249.2,10.252.40.101,74
2025-02-05 09:19:05,10.252.0.2,224.0.0.102,192
2025-02-05 09:19:05,10.252.40.101,10.252.249.2,74
2025-02-05 09:19:05,10.252.249.1,10.252.40.101,38054
2025-02-05 09:19:05,10.252.40.101,10.252.249.3,38054
2025-02-05 09:19:05,10.90.0.1,224.0.1.1,61
2025-02-05 09:19:15,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:15,10.252.249.2,10.252.40.101,147
2025-02-05 09:19:15,10.252.0.2,224.0.0.102,256
2025-02-05 09:19:15,10.252.40.101,10.252.249.2,147
2025-02-05 09:19:15,10.252.249.1,10.252.40.101,38016
2025-02-05 09:19:15,10.252.40.101,10.252.249.3,38093
2025-02-05 09:19:15,10.90.0.1,224.0.1.1,38
2025-02-05 09:19:15,10.90.0.1,255.255.255.255,158
2025-02-05 09:19:25,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:25,10.252.249.2,10.252.40.101,214
2025-02-05 09:19:25,10.252.0.2,224.0.0.102,192
2025-02-05 09:19:25,10.252.40.101,10.252.249.2,214
2025-02-05 09:19:25,10.252.249.1,10.252.40.101,38054
2025-02-05 09:19:25,10.252.40.101,10.252.249.3,38093
2025-02-05 09:19:25,10.90.0.1,255.255.255.255,38
2025-02-05 09:19:35,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:35,10.252.249.2,10.252.40.101,74
2025-02-05 09:19:35,10.252.0.2,224.0.0.102,192
2025-02-05 09:19:35,10.252.40.101,10.252.249.2,74
2025-02-05 09:19:35,10.252.249.1,10.252.40.101,38054
2025-02-05 09:19:35,10.252.40.101,10.252.249.3,38093
2025-02-05 09:19:35,10.90.0.1,255.255.255.255,38
2025-02-05 09:19:45,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:45,10.252.249.2,10.252.40.101,147
2025-02-05 09:19:45,10.252.0.2,224.0.0.102,256
2025-02-05 09:19:45,10.252.40.101,10.252.249.2,147
2025-02-05 09:19:45,10.252.249.1,10.252.40.101,38054
2025-02-05 09:19:45,10.252.40.101,10.252.249.3,38093
2025-02-05 09:19:45,10.90.0.1,255.255.255.255,196
