ipsrc,ipdst,ds,y
10.252.249.2,10.252.40.101,2025-02-05 09:18:52,180.26666666666668
10.252.249.1,10.252.40.101,2025-02-05 09:18:53,12544.0
10.252.249.2,10.252.40.101,2025-02-05 09:18:57,24.533333333333335
10.252.249.1,10.252.40.101,2025-02-05 09:18:58,11088.0
10.252.249.2,10.252.40.101,2025-02-05 09:19:02,24.533333333333335
10.252.249.1,10.252.40.101,2025-02-05 09:19:03,11110.4
10.252.249.2,10.252.40.101,2025-02-05 09:19:07,24.533333333333335
10.252.249.1,10.252.40.101,2025-02-05 09:19:08,11110.4
10.252.249.2,10.252.40.101,2025-02-05 09:19:12,24.533333333333335
10.252.249.1,10.252.40.101,2025-02-05 09:19:13,11088.0
10.252.249.2,10.252.40.101,2025-02-05 09:19:17,24.533333333333335
10.252.249.1,10.252.40.101,2025-02-05 09:19:18,11110.4
10.252.249.2,10.252.40.101,2025-02-05 09:19:22,22.4
10.252.249.1,10.252.40.101,2025-02-05 09:19:23,11110.4
10.252.249.2,10.252.40.101,2025-02-05 09:19:27,24.533333333333335
10.252.249.1,10.252.40.101,2025-02-05 09:19:28,11110.4
10.252.249.2,10.252.40.101,2025-02-05 09:19:32,24.533333333333335
10.252.249.1,10.252.40.101,2025-02-05 09:19:33,11110.4
10.252.249.2,10.252.40.101,2025-02-05 09:19:37,24.533333333333335
10.252.249.1,10.252.40.101,2025-02-05 09:19:38,11110.4
10.252.249.2,10.252.40.101,2025-02-05 09:19:42,24.533333333333335
10.252.249.1,10.252.40.101,2025-02-05 09:19:43,11110.4
10.252.249.2,10.252.40.101,2025-02-05 09:19:47,24.533333333333335
10.252.249.1,10.252.40.101,2025-02-05 09:19:48,8153.6
