ipsrc,ipdst,ds,y
10.252.0.2,224.0.0.18,2025-02-05 09:18:50,53.333333333333336
10.252.0.2,224.0.0.18,2025-02-05 09:18:55,53.333333333333336
10.252.0.2,224.0.0.18,2025-02-05 09:19:00,53.333333333333336
10.252.0.2,224.0.0.18,2025-02-05 09:19:05,53.333333333333336
10.252.0.2,224.0.0.18,2025-02-05 09:19:10,53.333333333333336
10.252.0.2,224.0.0.18,2025-02-05 09:19:15,53.333333333333336
10.252.0.2,224.0.0.18,2025-02-05 09:19:20,53.333333333333336
10.252.0.2,224.0.0.18,2025-02-05 09:19:25,53.333333333333336
10.252.0.2,224.0.0.18,2025-02-05 09:19:30,53.333333333333336
10.252.0.2,224.0.0.18,2025-02-05 09:19:35,53.333333333333336
10.252.0.2,224.0.0.18,2025-02-05 09:19:40,53.333333333333336
10.252.0.2,224.0.0.18,2025-02-05 09:19:45,53.333333333333336
10.252.0.2,224.0.0.18,2025-02-05 09:19:50,53.333333333333336
